,tiku,地域コード,地域,男,女,合計,最頻年齢,平均年齢,標準偏差
1265,1.0,512,金田２,127,116,243,45.5,44.8457,24.396836042846267
1380,1.0,513,中根,364,397,761,55.5,47.9823,25.24763062519311
1495,1.0,514,栄,204,188,392,48.5,46.3036,24.3714806460003
1610,1.0,515,松栄,194,203,397,54.5,48.7922,24.13689472855258
1725,1.0,516,松塚,173,189,362,40.5,47.5166,24.94402022876945
1840,1.0,517,横町,118,126,244,42.5,45.2828,23.813266699929414
1955,1.0,518,大,196,205,401,84.5,48.8766,25.83653484500017
2070,1.0,519,古来,360,360,720,42.5,43.3389,23.215096594170497
2185,1.0,520,吉瀬,176,198,374,65.5,52.5829,25.388238386028856
2300,1.0,521,花室,322,311,633,45.5,47.2567,23.649178082079946
2415,1.0,522,上ノ室１,640,667,1307,71.5,46.2575,24.35698094722782
2530,1.0,523,上ノ室２,354,361,715,32.5,45.8958,25.265056091731154
2645,1.0,524,倉掛,730,694,1424,44.5,40.8975,22.443547014639073
2760,1.0,525,上広岡,461,462,923,68.5,44.7904,23.15907082359821
2875,1.0,526,野田団地,115,113,228,47.5,51.8684,23.035542011269946
2990,1.0,527,下広岡１,322,309,631,49.5,47.3479,22.931144594484802
3105,1.0,528,下広岡２,342,288,630,32.5,45.0476,21.486580213055394
3220,1.0,529,桜ニユータウン,612,661,1273,71.5,55.8833,23.100839888883996
3335,1.0,530,大角豆１,257,275,532,42.5,41.9417,23.25290804068701
3450,1.0,531,大角豆２,286,273,559,28.5,45.3175,23.212304282729946
3565,1.0,532,大角豆３,433,422,855,46.5,42.6544,22.53085268845304
3680,1.0,533,妻木,385,377,762,65.5,47.0394,23.622171368896684
3795,1.0,535,天王台２丁目,9,7,16,24.5,25.6875,7.576433445230018
3910,1.0,537,天久保１丁目,466,408,874,24.5,35.8364,18.16713351759273
4025,1.0,538,天久保２丁目,903,669,1572,24.5,31.8397,15.65082172832896
4140,1.0,539,天久保３丁目,674,475,1149,22.5,28.9099,13.473563933110212
4255,1.0,540,天久保４丁目,381,187,568,21.5,32.5792,17.11556797205974
4370,1.0,541,吾妻１丁目,1021,1060,2081,41.5,36.5125,21.373339516185187
4485,1.0,542,吾妻２丁目,165,155,320,58.5,35.7719,20.12673493105626
4600,1.0,543,吾妻３丁目,993,851,1844,43.5,39.5466,20.247144213034773
4715,1.0,544,吾妻４丁目,989,880,1869,45.5,38.339,19.931698841275537
4830,1.0,545,竹園１丁目,1474,1456,2930,46.5,37.5655,20.88207927769401
4945,1.0,546,竹園２丁目,632,562,1194,47.5,36.5796,20.618319767365787
5060,1.0,547,竹園３丁目,1517,1532,3049,43.5,33.9303,20.734965943190517
5175,1.0,548,千現１丁目,926,837,1763,45.5,37.8727,20.5190746202336
5290,1.0,549,千現２丁目,390,383,773,44.5,40.5944,21.456840343299074
5405,1.0,551,並木２丁目,890,894,1784,41.5,34.06,19.83855215406373
5520,1.0,552,並木３丁目,1063,1135,2198,17.5,37.6215,20.894951156082165
5635,1.0,553,並木４丁目,654,738,1392,45.5,38.717,21.70214513286223
5750,1.0,555,梅園２丁目,1597,1578,3175,41.5,40.5891,22.05179140059498
5865,1.0,556,筑波大学生宿舎,1054,1057,2111,19.5,24.3522,6.122075951355383
5980,1.0,557,筑波大看護師宿舎,23,93,116,22.5,27.6121,5.88360016424966
6095,1.0,558,花園,555,518,1073,51.5,36.062,19.517433806173862
6210,1.0,575,春風台,538,511,1049,36.5,33.6106,21.425712939643603
6325,1.0,576,さくらの森,114,113,227,30.5,29.9846,18.003755853299005
6440,1.0,577,流星台,202,232,434,27.5,30.265,16.255876473782507
0,2.0,600,佐,96,99,195,63.5,53.8692,23.54128020665412
115,2.0,601,若森,156,148,304,79.5,52.0066,24.89781662128967
230,2.0,602,大曽根１,1087,1166,2253,44.5,41.9967,24.303445139396633
345,2.0,603,大曽根２,95,86,181,46.5,49.9309,23.983003505200138
460,2.0,604,鹿島台,136,151,287,51.5,39.2282,22.55298070443537
575,2.0,605,玉取,426,429,855,71.5,47.9409,24.05497522434638
690,2.0,606,大穂,14,2,16,30.5,30.875,6.13264828601804
805,2.0,607,前野,400,433,833,64.5,51.5972,24.286335228115195
920,2.0,608,長高野,471,502,973,71.5,49.204,24.37647414295889
1035,2.0,611,大砂,489,502,991,43.5,46.8996,23.948265798410578
1150,2.0,612,西高野,418,424,842,45.5,49.861,22.92324905261612
1265,2.0,613,吉沼１,724,775,1499,42.5,46.4867,24.709516295733497
1380,2.0,614,吉沼２,372,384,756,68.5,54.5794,23.54589231905941
1495,2.0,615,篠崎,823,817,1640,46.5,41.0043,23.859905777976206
1610,2.0,618,蓮沼,156,164,320,22.5,45.2031,24.10127051080503
1725,2.0,619,花畑１丁目,768,624,1392,29.5,37.9152,20.492814782422315
1840,2.0,620,花畑２丁目,501,481,982,25.5,36.6711,19.24467971170024
1955,2.0,621,花畑３丁目,1057,933,1990,35.5,37.0563,20.326569938602393
2070,2.0,622,要,1016,1014,2030,22.5,42.465,23.1901596757801
2185,2.0,623,西沢,24,22,46,2.5,23.3043,16.72100938973898
2300,2.0,626,筑穂１丁目,98,100,198,37.5,40.4242,22.65684542538742
2415,2.0,627,筑穂２丁目,285,276,561,44.5,37.6979,20.05389518282129
2530,2.0,628,筑穂３丁目,237,228,465,49.5,37.8118,20.865147404924972
0,3.0,701,沼崎,420,405,825,72.5,49.5,24.607365243813167
115,3.0,702,今鹿島,1097,1073,2170,45.5,47.823,24.38259320869389
230,3.0,703,上里,199,204,403,44.5,47.8722,24.12705043341757
345,3.0,704,田倉,215,229,444,43.5,49.3851,23.946785124015413
460,3.0,705,上郷１,1934,1844,3778,71.5,50.5461,24.548436289448556
575,3.0,710,手子生,286,301,587,54.5,49.6346,24.455862546658544
690,3.0,711,木俣,60,60,120,48.5,54.25,22.3484712377976
805,3.0,712,上郷２,97,117,214,70.5,47.6028,24.350606731944726
920,3.0,713,豊里グリーンタウン,134,40,174,26.5,35.7126,16.810494154025594
1035,3.0,714,野畑,83,93,176,45.5,46.9886,24.543789400616568
1150,3.0,715,高野,295,289,584,42.5,44.1661,23.585093994524335
1265,3.0,716,百家,162,199,361,40.5,49.2064,24.414976294110843
1380,3.0,717,酒丸,420,424,844,68.5,42.3424,23.738006237459548
1495,3.0,718,土田,76,79,155,41.5,50.5516,24.02224602010234
1610,3.0,719,東光台１丁目,401,413,814,47.5,37.4128,21.632365162256733
1725,3.0,720,東光台２丁目,394,387,781,27.5,37.0839,21.57017421762054
1840,3.0,721,東光台３丁目,281,232,513,25.5,36.27,19.348998377348313
1955,3.0,722,東光台４丁目,191,202,393,26.5,36.9733,19.566547857971656
2070,3.0,723,東光台５丁目,15,13,28,41.5,35.4643,18.893464748538996
2185,3.0,724,中東原新田,24,21,45,66.5,50.7444,21.271948722933473
2300,3.0,725,遠東,230,245,475,71.5,49.5547,23.863761420669455
2415,3.0,726,豊里の杜１丁目,494,486,980,45.5,39.5786,21.215679367421266
2530,3.0,727,豊里の杜２丁目,708,698,1406,45.5,35.6046,21.593121482460603
2645,3.0,730,中東,3,3,6,3.5,22.3333,15.58221921154579
0,4.0,800,筑波,244,283,527,70.5,57.8074,23.752287461540114
115,4.0,801,上大島,337,329,666,59.5,55.1502,22.703120030936255
230,4.0,802,国松,251,274,525,70.5,53.7895,24.307317823524045
345,4.0,803,沼田,330,340,670,54.5,53.5881,23.37621589075517
460,4.0,804,臼井,292,306,598,69.5,52.0535,24.08470932882549
575,4.0,805,神郡,310,354,664,70.5,52.4548,24.881727599610215
690,4.0,806,漆所,46,42,88,70.5,59.9545,21.7683616804297
805,4.0,807,大貫,46,38,84,49.5,54.1548,23.498477178461304
920,4.0,808,杉木,46,49,95,16.5,52.9105,25.195026550523394
1035,4.0,809,上菅間,108,126,234,65.5,51.7009,23.323400800752964
1150,4.0,810,中菅間,201,220,421,64.5,51.2102,24.68483749373807
1265,4.0,811,洞下,330,333,663,71.5,51.4894,24.079773344151338
1380,4.0,812,高野原新田,15,13,28,45.5,51.1786,20.4887662102222
1495,4.0,813,磯部,67,62,129,67.5,52.9961,24.494620207016254
1610,4.0,814,池田,116,107,223,71.5,50.5717,24.511812108007256
1725,4.0,815,明石,65,65,130,52.5,57.8,23.037644778125145
1840,4.0,816,田中,418,428,846,69.5,52.8582,23.554937512871305
1955,4.0,817,小沢,79,61,140,56.5,55.0286,23.55948182100544
2070,4.0,818,北条,1441,1488,2929,71.5,51.0712,24.445921448145025
2185,4.0,819,小泉,31,31,62,62.5,49.9194,23.404265111134293
2300,4.0,820,泉,193,186,379,65.5,52.033,24.002107302548684
2415,4.0,821,平沢,202,152,354,41.5,48.4831,25.38527411920492
2530,4.0,822,山口,195,205,400,71.5,52.5825,24.840505102553777
2645,4.0,823,小和田,114,116,230,15.5,45.7913,24.36511071261171
2760,4.0,824,小田,907,946,1853,71.5,52.7952,24.192468123324417
2875,4.0,825,大形,218,232,450,69.5,54.7667,23.986940891544396
2990,4.0,826,下大島,96,84,180,48.5,49.5111,24.943043761716186
3105,4.0,827,北太田,80,94,174,32.5,57.3448,24.550301440778753
3220,4.0,828,君島,143,144,287,71.5,54.4303,24.34254719076456
3335,4.0,829,山木,158,142,300,69.5,54.3867,22.95924989098439
3450,4.0,830,水守,344,314,658,68.5,51.1717,22.98853600334154
3565,4.0,831,作谷,664,629,1293,69.5,51.3183,23.903652464080995
3680,4.0,832,寺具,233,234,467,63.5,49.9411,23.926955699350756
3795,4.0,833,安食,528,513,1041,68.5,45.7747,23.692786905478325
0,5.0,900,小茎,247,259,506,44.5,46.0968,23.992742436153247
115,5.0,901,下岩崎,218,197,415,60.5,52.6349,23.800700778087858
230,5.0,902,上岩崎,281,300,581,70.5,54.4587,25.766561226962466
345,5.0,903,房内,67,56,123,64.5,53.7358,23.5296323470633
460,5.0,904,若栗,268,272,540,41.5,44.8407,24.45840398265776
575,5.0,905,菅間,107,100,207,48.5,48.2005,24.872178542849664
690,5.0,906,樋の沢,131,122,253,45.5,44.6739,22.789494478844947
805,5.0,907,大井,240,253,493,77.5,49.9888,23.77929232957907
920,5.0,908,高崎,710,771,1481,72.5,47.8207,24.892837896416417
1035,5.0,909,天宝喜,104,123,227,67.5,49.4824,23.902327823849422
1150,5.0,910,牧園,366,312,678,40.5,43.6386,21.903615882339196
1265,5.0,911,宝陽台,640,672,1312,71.5,59.814,22.01988814796253
1380,5.0,912,城山,486,518,1004,75.5,59.3466,22.009151901347174
1495,5.0,914,桜が丘,486,469,955,71.5,58.033,21.441499883922564
1610,5.0,917,森の里,1392,1482,2874,71.5,55.8375,22.66270036137848
1725,5.0,918,若葉,211,189,400,49.5,39.2425,20.744666633860376
1840,5.0,919,あしび野,182,181,363,71.5,55.9325,20.645445633262693
1955,5.0,920,高見原１丁目,999,990,1989,44.5,44.0204,22.72977667694805
2070,5.0,921,高見原２丁目,700,732,1432,44.5,45.7339,23.311688010462706
2185,5.0,922,高見原３丁目,482,484,966,70.5,49.7785,24.328882122164643
2300,5.0,923,高見原４丁目,376,340,716,71.5,50.7849,22.95142663909537
2415,5.0,924,高見原５丁目,262,255,517,72.5,47.7863,23.095614582667466
